respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
fd98bb91b043,10,Speed service,Good Speed,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2b9c6044ecc1,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
24eca69b7593,6,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
44477a2c55ed,9,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
623afb5ddbb4,10,Stability & Speed,Good Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
2cc2f857c10d,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f44c69f176ce,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
c7fb4f3f0c16,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
ee55e12def5a,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1d094e58a835,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
55709a42a4f7,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
5125b0f196d2,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0929740c8257,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
a04663d1d882,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
255848ebe165,0,Roj net use karne mai dikkat hoti hai chlta hi nhi hai or abhi bhi nhi chl rha hai koi use mat kro bhai wiom ka net,Frequent Disconnections,,,Verma,,0,CT,Sprint RSP3,2026-03-01
075cc271e272,2,Ruk ruk ke chlta h kyuki,Slow Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
6e62da180586,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
8d9c1eb68a71,10,Super internet,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
798d43c010cd,0,Sabse bekar hai recharge kare huye mahina pura hogya but net nhi chal rha bekar hai wiom,Frequent Disconnections,,,Verma,,0,CT,Sprint RSP3,2026-03-01
3a4721b2fc69,0,Sabse bekar wifi hai 0 internet speed har dusre din band ho jata h,Slow Speed,Frequent Disconnections,,Verma,,0,CT,Sprint RSP3,2026-03-01
f99046ec769c,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
0c99efc9ce43,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
db4ead82fede,1,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
416d805661d9,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
c94ba786e9c6,10,Superb 😘 xlent network no issues,General Good Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
0da6ccf2b4cc,0,Sabse Ganda Hai Aapka system Har din Har ghante Mein kharab ho jata hai Sahi Nahin chalta hai,Frequent Disconnections,,,Verma,,0,WA,Sprint RSP3,2026-03-01
5cf3d516bb70,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
81fb70738e39,1,Sabse ghatiya service ho chuki hai ab phle thik hai service providers ko change karo brna dhree dhree jo customer aaye hai wo bhi leave karke jayenge because technician ka behaviour aur baat karne ka tarika bhut kharab hai extra charge late hai aur mare abhi tak isse resolve nhi hua hai haar 2 din me mare net issue ho raha hai ab agar nhi service de sakte ho achi to koi nhi judge ek achi service ke liya customer judte hai wahi bekar hai ab apki thik kro isse aur service providers ko change karke ache ko do,Bad Customer Support - Technician,,,Verma,,0,CT,Sprint RSP3,2026-03-01
db0504011ac1,5,Sasta he,Affordable,,,Verma,,0,WA,Sprint RSP3,2026-03-01
5ffad59d4203,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
9ba5b3b154cc,6,security concerns,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
e4f917ce3b58,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
1f92d86f7c1b,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
d9fa44ee7110,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
c88e9d283f38,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
bb6f68388e0d,8,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
dcbc954f073f,5,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
fd9aca01d686,10,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
5c65e2086141,0,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
bba1795dc3bf,0,Service,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
cb3656b07912,0,Service bahut bekar hai net chalta nahin Hai bilkul bhi Kisi bhi time band ho jata hai chalna,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
de9527990536,0,Service bhaut bekar hai,General Bad Service,,,Verma,,0,WA,Sprint RSP3,2026-03-01
060137b0ed49,0,Service bohot kharab ha time pa kuch nhi hota ha,General Bad Service,,,Verma,,0,CT,Sprint RSP3,2026-03-01
f8444c9ed036,3,,,,,Verma,,0,CT,Sprint RSP3,2026-03-01
2d3f69685c23,10,Superb speed,Good Speed,,,Verma,,0,WA,Sprint RSP3,2026-03-01
