respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
0f6c32f45c19,10,Good internet,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
4236c91ded41,0,,,,,Verma,,270,CT,Sprint 3,2026-08-01
11facecddd21,10,Good network,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
b4417f899e20,1,,,,,Verma,,135,CT,Sprint 3,2026-08-01
bb2dea3a496b,10,Good service,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
23a74cd26848,10,Good service,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
d08554f7f64a,10,Excellent ðŸ‘_x008d_,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
fded0c817455,10,Good survis,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
bf2b2e3d7017,7,Greatnnskd,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
ce81007eb439,6,Ha jarur bataunga bohot vadia net chala hai sub ko bolunga wiom he lagvana,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
a7867caa0932,10,Hmm best network ðŸ›œ,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
dcc5a4af5bd5,10,Iski services achhi hai aur net bhi achha chaeta h,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
4059346059f9,10,Kafi acha wifi,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
b06847203462,10,Ki ye wiom ka wifi connection bohot acha chalta hai aur iski bohot achi service hai to is liye sab ko ye net zarur se laga chahiye,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
77bbb2b2571b,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
