feature,verdict,reason,tenure_r,churn_r,fill_overall,fill_gap
is_negative_sentiment,CLEAN,Passes all checks,0.07529522767881264,-0.008231323424700156,1.0,0.0
is_positive_sentiment,CLEAN,Passes all checks,-0.005652714202082958,-0.10147672340695212,1.0,0.0
churn_risk_score,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.09074983627405975,0.9324410707622106,1.0,0.0
churn_risk_pct,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.09074297667325615,0.9324539817396122,1.0,0.0
risk_category,EXCLUDE,Target leakage — mechanically linked to churn definition,,,0.978689152932158,-0.02783340008009616
sc_avg_plan_speed,CLEAN,Passes all checks,-0.04137606590189336,0.03231080846628049,0.9982368723648908,0.004533048424874675
sc_avg_latest_speed,CLEAN,Passes all checks,-0.09612599419260297,-0.01481763874513036,0.994557301648141,0.010408237349654459
sc_speed_gap_pct,CLEAN,Passes all checks,0.05313569062138165,0.03598771641036958,0.994557301648141,0.010408237349654459
sc_avg_speed_in_range,CLEAN,Passes all checks,-0.07218299283167956,-0.03742202195419711,0.9982368723648908,0.004533048424874675
sc_avg_rxpower,CLEAN,Passes all checks,-0.06666147733682341,-0.025568241499870054,0.6996550402453047,-0.052616328996169304
sc_avg_rxpower_in_range,CLEAN,Passes all checks,-0.008552121345974502,-0.1563049011798637,0.9982368723648908,0.004533048424874675
sc_avg_opticalpower_in_range,CLEAN,Passes all checks,-0.058705481173594316,-0.0050385431564071315,0.3209658873131468,-0.028542625373542796
sc_avg_weekly_data_gb,REVIEW,Moderate tenure correlation (r=+0.485) — verify not spurious,0.4845479711548714,-0.03268915060510967,0.9882713683403603,0.01245210313874856
sc_scorecard_ticket_count,EXCLUDE,Target leakage — mechanically linked to churn definition,0.01397478018884735,-0.1413397045297378,0.6995783825220391,0.12031503555002021
sc_scorecard_weeks,EXCLUDE,Target leakage — mechanically linked to churn definition,0.3054658666118691,-0.7538930348281389,0.9982368723648908,0.004533048424874675
sc_plan_active_ratio,EXCLUDE,Target leakage — mechanically linked to churn definition,0.1593238471186129,-0.4855782431883194,0.9982368723648908,0.004533048424874675
cis_avg_customer_uptime_pct,REVIEW,"Fill-rate gap RECOVERABLE: overall=+55pp, late sprints=+2pp",0.0766565849493354,-0.1866159582200129,0.8697585281717133,0.5506467754763354
cis_avg_stable_ping_ratio,REVIEW,"Fill-rate gap RECOVERABLE: overall=+58pp, late sprints=+6pp; Moderate tenure correlation (r=-0.258) — verify not spurious",-0.2579398698971145,-0.007641241170614785,0.8607895745496359,0.5752479684813794
cis_avg_peak_uptime_pct,REVIEW,"Fill-rate gap RECOVERABLE: overall=+55pp, late sprints=+2pp",0.052025083219284944,-0.22658151795693962,0.8697585281717133,0.5506467754763354
cis_peak_interruption_rate,REVIEW,"Fill-rate gap RECOVERABLE: overall=+55pp, late sprints=+2pp",-0.002340126684158373,0.05117682503904341,0.8697585281717133,0.5506467754763354
cis_active_day_ratio,EXCLUDE,Target leakage — mechanically linked to churn definition,0.035442311847415725,-0.23335013491331089,0.8697585281717133,0.5506467754763354
cis_influx_data_days,EXCLUDE,Target leakage — mechanically linked to churn definition,0.12909312152878805,-0.760800975639043,0.8697585281717133,0.5506467754763354
ul1_avg_daily_sessions,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.17839563346416323,-0.0021977217817942835,0.7408202376389421,0.8598970383694977
ul1_avg_daily_devices,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.3530857971571912,-0.00977357582102528,0.7408202376389421,0.8598970383694977
ul1_avg_active_hours,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.19850644375177692,-0.01830665816386887,0.7408202376389421,0.8598970383694977
ul1_avg_daily_data_gb,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.29051205002141356,-0.004868153399738775,0.7408202376389421,0.8598970383694977
ul1_avg_session_hours,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.31627362981980467,-0.014414045282986208,0.7408202376389421,0.8598970383694977
ul1_avg_peak_hour_ratio,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),-0.11879183710859112,0.0006050529508285231,0.7408202376389421,0.8598970383694977
ul1_avg_night_day_ratio,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.029754492604407438,-0.0047110307981789645,0.7405902644691452,0.8595966779369787
ul1_avg_usage_volatility,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.1388641010044361,0.00727934826598153,0.7407435799156765,0.8597969182253248
ul1_pct_short_sessions,EXCLUDE,Near-zero variance — 100% same value,,,0.7408202376389421,0.8598970383694977
ul1_avg_distinct_ips,EXCLUDE,Fill-rate leakage — +86pp gap persists in late sprints (+85pp),0.3476888301880092,-0.010624727231768279,0.7408202376389421,0.8598970383694977
ul1_usage_data_days,EXCLUDE,Target leakage — mechanically linked to churn definition,-0.21663642174658593,-0.017679365090097397,0.7408202376389421,0.8598970383694977
tk_total_tickets,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.024365291998290198,-0.00932933353155708,0.7364507474128018,0.31416106262418403
tk_cx_tickets,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.006302723250009983,0.04308735517113053,0.7364507474128018,0.31416106262418403
tk_tickets_internet_down,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),0.06023319580250233,-0.10632000662031466,0.7364507474128018,0.31416106262418403
tk_tickets_disconnect,EXCLUDE,Fill-rate leakage — +31pp gap persists in late sprints (+31pp),-0.037330668936678135,0.1510050060358796,0.7364507474128018,0.31416106262418403
